ID,date,item,category,price
1,2024-01-05,bread,groceries,2.50
2,2024-01-07,lunch,restaurants,15.75
3,2024-01-10,shoes,shopping,89.99
4,2024-01-15,rent,housing&bills,1000.00
5,2024-01-18,bus ticket,transport,3.00
6,2024-01-20,movie ticket,other,12.50
7,2024-01-25,coffee,groceries,4.50
8,2024-01-28,dinner,restaurants,30.50
9,2024-02-02,t-shirt,shopping,29.99
10,2024-02-05,electricity,housing&bills,50.00
11,2024-02-08,taxi ride,transport,20.00
12,2024-02-12,books,other,45.00
13,2024-02-15,milk,groceries,1.99
14,2024-02-18,dinner,restaurants,35.00
15,2024-02-22,jeans,shopping,59.99
16,2024-02-25,water bill,housing&bills,35.00
17,2024-02-28,subway ticket,transport,2.50
18,2024-03-03,gift,other,25.00
19,2024-03-07,eggs,groceries,3.99
20,2024-03-10,lunch,restaurants,12.50
21,2024-03-15,hat,shopping,19.99
22,2024-03-18,internet bill,housing&bills,80.00
23,2024-03-21,train ticket,transport,50.00
24,2024-03-25,stationery,other,15.00
25,2024-03-28,fruit,groceries,6.50
26,2024-04-02,dinner,restaurants,40.00
27,2024-04-05,sneakers,shopping,99.99
28,2024-04-08,gas bill,housing&bills,70.00
29,2024-04-12,bike repair,transport,80.00
30,2024-04-15,magazines,other,10.00
31,2024-04-18,vegetables,groceries,8.50
32,2024-04-22,brunch,restaurants,25.00
33,2024-04-25,backpack,shopping,49.99
34,2024-04-28,phone bill,housing&bills,45.00
35,2024-05-03,bus pass,transport,30.00
36,2024-05-06,concert tickets,other,60.00
37,2024-05-10,snacks,groceries,4.00
38,2024-05-15,dinner,restaurants,45.50
39,2024-05-18,shirt,shopping,39.99
40,2024-05-22,water bill,housing&bills,30.00
41,2024-05-25,metro pass,transport,25.00
42,2024-05-28,umbrella,other,20.00
43,2024-06-02,ice cream,groceries,3.50
44,2024-06-05,fast food,restaurants,10.00
45,2024-06-08,skirt,shopping,29.99
46,2024-06-12,electricity,housing&bills,60.00
47,2024-06-15,cab ride,transport,15.00
48,2024-06-18,dvd,other,14.99
49,2024-06-22,cheese,groceries,5.75
50,2024-06-25,dinner,restaurants,50.00
51,2024-06-28,sunglasses,shopping,49.99
52,2024-07-03,water bill,housing&bills,40.00
53,2024-07-06,train ticket,transport,35.00
54,2024-07-10,flower bouquet,other,20.00
55,2024-07-15,bread,groceries,2.50
56,2024-07-18,lunch,restaurants,15.75
57,2024-07-22,jeans,shopping,89.99
58,2024-07-25,rent,housing&bills,1000.00
59,2024-07-28,metro pass,transport,3.00
60,2024-07-31,movie ticket,other,12.50
